gene	ens	Cosmic_v.92	cosmic.annot	Ma	Grobner	druggable
A1CF	ENSG00000148584	TRUE	ONCOGENE	FALSE	FALSE	FALSE
AADACL4	ENSG00000204518	FALSE	N	FALSE	TRUE	FALSE
ABCB1	ENSG00000085563	FALSE	N	FALSE	FALSE	TRUE
ABI1	ENSG00000136754	TRUE	TSG,FUSION	FALSE	FALSE	FALSE
ABL	ENSG00000097007	FALSE	N	FALSE	FALSE	TRUE
ABL1	ENSG00000097007	TRUE	ONCOGENE,FUSION	TRUE	TRUE	TRUE
ABL2	ENSG00000143322	TRUE	ONCOGENE,FUSION	TRUE	FALSE	TRUE
ACKR3	ENSG00000144476	TRUE	ONCOGENE,FUSION	FALSE	FALSE	FALSE
ACSL3	ENSG00000123983	TRUE	FUSION	FALSE	FALSE	FALSE
ACSL6	ENSG00000164398	TRUE	FUSION	FALSE	FALSE	FALSE
ACTB	ENSG00000075624	FALSE	N	TRUE	FALSE	FALSE
ACVR1	ENSG00000115170	TRUE	ONCOGENE	FALSE	TRUE	FALSE
ACVR2A	ENSG00000121989	TRUE	TSG	FALSE	FALSE	FALSE
ACVR2B	ENSG00000114739	FALSE	N	FALSE	TRUE	FALSE
ADD3	ENSG00000148700	FALSE	N	TRUE	TRUE	FALSE
ADGRL2	ENSG00000117114	FALSE	N	FALSE	TRUE	FALSE
AFDN	ENSG00000130396	TRUE	ONCOGENE,FUSION	TRUE	FALSE	FALSE
AFF1	ENSG00000172493	TRUE	FUSION	FALSE	FALSE	FALSE
AFF3	ENSG00000144218	TRUE	ONCOGENE,FUSION	FALSE	FALSE	FALSE
AFF4	ENSG00000072364	TRUE	ONCOGENE,FUSION	FALSE	FALSE	FALSE
AGBL4	ENSG00000186094	FALSE	N	FALSE	TRUE	FALSE
AKAP9	ENSG00000127914	TRUE	FUSION	FALSE	FALSE	FALSE
AKT1	ENSG00000142208	TRUE	ONCOGENE	TRUE	FALSE	TRUE
AKT2	ENSG00000105221	TRUE	ONCOGENE	FALSE	FALSE	FALSE
AKT3	ENSG00000117020	TRUE	ONCOGENE	FALSE	FALSE	FALSE
ALDH2	ENSG00000111275	TRUE	FUSION	FALSE	FALSE	FALSE
ALK	ENSG00000171094	TRUE	ONCOGENE,FUSION	TRUE	TRUE	TRUE
AMER1	ENSG00000184675	TRUE	TSG	TRUE	FALSE	FALSE
ANK1	ENSG00000029534	TRUE	N	FALSE	FALSE	FALSE
APC	ENSG00000134982	TRUE	TSG	TRUE	FALSE	FALSE
APOBEC3B	ENSG00000179750	TRUE	ONCOGENE,TSG	FALSE	FALSE	FALSE
AR	ENSG00000169083	TRUE	ONCOGENE	FALSE	FALSE	FALSE
ARAF	ENSG00000078061	TRUE	ONCOGENE	FALSE	FALSE	TRUE
AREG	ENSG00000109321	FALSE	N	FALSE	FALSE	TRUE
ARHGAP26	ENSG00000145819	TRUE	TSG,FUSION	FALSE	FALSE	FALSE
ARHGAP5	ENSG00000100852	TRUE	ONCOGENE	FALSE	FALSE	FALSE
ARHGEF10	ENSG00000104728	TRUE	TSG	FALSE	FALSE	FALSE
ARHGEF10L	ENSG00000074964	TRUE	TSG	FALSE	FALSE	FALSE
ARHGEF12	ENSG00000196914	TRUE	TSG,FUSION	FALSE	FALSE	FALSE
ARID1A	ENSG00000117713	TRUE	TSG,FUSION	TRUE	TRUE	FALSE
ARID1B	ENSG00000049618	TRUE	TSG	FALSE	FALSE	FALSE
ARID2	ENSG00000189079	TRUE	TSG	TRUE	FALSE	FALSE
ARNT	ENSG00000143437	TRUE	ONCOGENE,TSG,FUSION	FALSE	FALSE	FALSE
ASPSCR1	ENSG00000169696	TRUE	FUSION	FALSE	FALSE	FALSE
ASS1	ENSG00000130707	FALSE	N	FALSE	FALSE	TRUE
ASXL1	ENSG00000171456	TRUE	TSG	TRUE	FALSE	FALSE
ASXL2	ENSG00000143970	TRUE	TSG	TRUE	FALSE	FALSE
ATF1	ENSG00000123268	TRUE	ONCOGENE,FUSION	FALSE	FALSE	FALSE
ATF7IP	ENSG00000171681	FALSE	N	TRUE	FALSE	FALSE
ATIC	ENSG00000138363	TRUE	FUSION	FALSE	FALSE	FALSE
ATM	ENSG00000149311	TRUE	TSG	TRUE	FALSE	TRUE
ATP1A1	ENSG00000163399	TRUE	ONCOGENE,TSG	FALSE	FALSE	FALSE
ATP2B3	ENSG00000067842	TRUE	TSG	FALSE	FALSE	FALSE
ATR	ENSG00000175054	TRUE	TSG	FALSE	FALSE	FALSE
ATRX	ENSG00000085224	TRUE	TSG	TRUE	TRUE	FALSE
AUTS2	ENSG00000158321	FALSE	N	FALSE	TRUE	FALSE
AXIN1	ENSG00000103126	TRUE	TSG	FALSE	FALSE	FALSE
