name	ensembl_id	gene_name	synonyms
NK2 homeobox 2	ENSG00000125820	NKX2-2	NKX2-2,NKX2B,NKX2.2
menin 1	ENSG00000133895	MEN1	MEN1
FYN proto-oncogene, Src family tyrosine kinase	ENSG00000010810	FYN	FYN,SYN,SLK,MGC45350
protein tyrosine phosphatase, receptor type E	ENSG00000132334	PTPRE	PTPRE,PTPE
platelet endothelial aggregation receptor 1	ENSG00000187800	PEAR1	PEAR1,MEGF12,JEDI,FLJ00193
PDS5 cohesin associated factor B	ENSG00000083642	PDS5B	PDS5B,APRIN,AS3,KIAA0979,FLJ23236,CG008
mitogen-activated protein kinase 8	ENSG00000107643	MAPK8	MAPK8,PRKM8,JNK,JNK1,SAPK1
kelch like family member 10	ENSG00000161594	KLHL10	KLHL10,FLJ32662
heterogeneous nuclear ribonucleoprotein D	ENSG00000138668	HNRNPD	HNRNPD,AUF1,HNRPD
fibroblast growth factor receptor 3	ENSG00000068078	FGFR3	FGFR3,ACH,CEK2,JTK4,CD333
metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ENSG00000251562	MALAT1	MALAT1,PRO1073,MALAT-1,NCRNA00047,HCN,NEAT2,LINC00047,MASCRNA
von Hippel-Lindau tumor suppressor	ENSG00000134086	VHL	VHL,VHL1
ALK receptor tyrosine kinase	ENSG00000171094	ALK	ALK,CD246
mucin 2, oligomeric mucus/gel-forming	ENSG00000284971	MUC2	MUC2
EPH receptor A2	ENSG00000142627	EPHA2	EPHA2,ECK
cold inducible RNA binding protein	ENSG00000099622	CIRBP	CIRBP,CIRP
thyroid hormone responsive	ENSG00000151365	THRSP	THRSP,LPGP1,SPOT14,LPGP,S14,THRP
epidermal growth factor receptor pathway substrate 15	ENSG00000085832	EPS15	EPS15,AF-1P,MLLT5
thiamin pyrophosphokinase 1	ENSG00000196511	TPK1	TPK1,HTPK1,PP20
AT-rich interaction domain 5A	ENSG00000196843	ARID5A	ARID5A,MRF-1,RP11-363D14
KIAA1549	ENSG00000122778	KIAA1549	KIAA1549
WNT1 inducible signaling pathway protein 2	ENSG00000064205	CCN5	WISP2,CT58,CTGF-L,CCN5
lymphotoxin beta receptor	ENSG00000111321	LTBR	LTBR,D12S370,TNFCR,TNFR-RP,TNFR2-RP,TNF-R-III,TNFRSF3
oxysterol binding protein like 3	ENSG00000070882	OSBPL3	OSBPL3,OSBP3,ORP-3,ORP3,KIAA0704
calcitonin receptor	ENSG00000004948	CALCR	CALCR,CTR
leucine rich repeat containing 25	ENSG00000175489	LRRC25	LRRC25,MAPA,FLJ38116
PH domain and leucine rich repeat protein phosphatase 1	ENSG00000081913	PHLPP1	PHLPP1,PLEKHE1,PHLPP,KIAA0606,SCOP,PPM3A
additional sex combs like 1, transcriptional regulator	ENSG00000171456	ASXL1	ASXL1,KIAA0978
calcium dependent secretion activator 2	ENSG00000081803	CADPS2	CADPS2,CAPS2
growth arrest specific 6	ENSG00000183087	GAS6	GAS6,AXLLG,AXSF,FLJ34709,DKFZP666G247
cyclin dependent kinase inhibitor 1A	ENSG00000124762	CDKN1A	CDKN1A,CDKN1,P21,CIP1,WAF1,SDI1,CAP20,P21CIP1,P21CIP1/WAF1
estrogen related receptor alpha	ENSG00000173153	ESRRA	ESRRA,ESRL1,ERR1,ERRALPHA,NR3B1,ERRA
TNF receptor associated factor 3	ENSG00000131323	TRAF3	TRAF3,CAP-1,CD40BP,CRAF1,LAP1,RNF118
BCL2 binding component 3	ENSG00000105327	BBC3	BBC3,JFY1,PUMA
catenin beta 1	ENSG00000168036	CTNNB1	CTNNB1,CTNNB,BETA-CATENIN,ARMADILLO
Janus kinase 2	ENSG00000096968	JAK2	JAK2,JTK10
S100 calcium binding protein P	ENSG00000163993	S100P	S100P
casein kinase 1 alpha 1	ENSG00000113712	CSNK1A1	CSNK1A1,CK1,CK1A,CK1ALPHA,CKIA,CKIALPHA
protein inhibitor of activated STAT 3	ENSG00000131788	PIAS3	PIAS3,FLJ14651,ZMIZ5
CRK like proto-oncogene, adaptor protein	ENSG00000099942	CRKL	CRKL
FRAT1, WNT signaling pathway regulator	ENSG00000165879	FRAT1	FRAT1
RAS p21 protein activator 1	ENSG00000145715	RASA1	RASA1,RASA,GAP,CM-AVM,P120GAP,P120RASGAP,P120
large tumor suppressor kinase 2	ENSG00000150457	LATS2	LATS2
homeobox D11	ENSG00000128713	HOXD11	HOXD11,HOX4,HOX4F
SUFU negative regulator of hedgehog signaling	ENSG00000107882	SUFU	SUFU,SUFUH,SUFUXL,PRO1280
ATRX, chromatin remodeler	ENSG00000085224	ATRX	ATRX,RAD54,JMS,MRX52,XH2,XNP
cyclin D3	ENSG00000112576	CCND3	CCND3
tubulin tyrosine ligase	ENSG00000114999	TTL	TTL,MGC46235
Abelson helper integration site 1	ENSG00000135541	AHI1	AHI1,FLJ20069,ORF1,JBTS3
transporter 1, ATP binding cassette subfamily B member	ENSG00000168394	TAP1	TAP1,ABCB2,PSF1,RING4,D6S114E
VGF nerve growth factor inducible	ENSG00000128564	VGF	VGF,SCG7,SGVII
syndecan 4	ENSG00000124145	SDC4	SDC4,SYND4,AMPHIGLYCAN,RYUDOCAN
formin like 3	ENSG00000161791	FMNL3	FMNL3,DKFZP762B245,MGC45819,WBP3
crystallin alpha A	ENSG00000160202	CRYAA	CRYAA,CRYA1,HSPB4
mitogen-activated protein kinase kinase kinase 8	ENSG00000107968	MAP3K8	MAP3K8,COT,ESTF,TPL-2,EST,C-COT,MEKK8
C-X-C motif chemokine ligand 2	ENSG00000081041	CXCL2	CXCL2,GRO2,SCYB2,GROB,MIP-2A,MGSA-B,CINC-2A
midkine	ENSG00000110492	MDK	MDK,NEGF2,MK,FLJ27379
microRNA 222	ENSG00000207725	MIR222	MIR222,MIRN222,HSA-MIR-222
Janus kinase 1	ENSG00000162434	JAK1	JAK1,JAK1B,JAK1A,JTK3
HMG-box transcription factor 1	ENSG00000105856	HBP1	HBP1
hematopoietically expressed homeobox	ENSG00000152804	HHEX	HHEX,PRHX,HEX,HOX11L-PEN
cyclin dependent kinase inhibitor 2D	ENSG00000129355	CDKN2D	CDKN2D,INK4D,P19
secreted phosphoprotein 1	ENSG00000118785	SPP1	SPP1,BNSP,OPN,BSPI,ETA-1
sirtuin 1	ENSG00000096717	SIRT1	SIRT1,SIR2L1
MPL proto-oncogene, thrombopoietin receptor	ENSG00000117400	MPL	MPL,CD110,TPOR
retinoic acid receptor alpha	ENSG00000131759	RARA	RARA,RAR,NR1B1
cyclin dependent kinase 2 associated protein 1	ENSG00000111328	CDK2AP1	CDK2AP1,DORC1,DOC-1,DOC1,ST19,P12DOC-1
N(alpha)-acetyltransferase 10, NatA catalytic subunit	ENSG00000102030	NAA10	NAA10,ARD1,ARD1A,DXS707,TE2
zinc finger protein 281	ENSG00000162702	ZNF281	ZNF281,ZBP-99
BCR, RhoGEF and GTPase activating protein	ENSG00000186716	BCR	BCR,D22S11,BCR1,D22S662,CML,PHL,ALL
TYRO3 protein tyrosine kinase	ENSG00000092445	TYRO3	TYRO3,RSE,DTK,BRT,TIF,SKY,ETK-2,REK
ubiquitin like 3	ENSG00000122042	UBL3	UBL3,PNSC1,HCG-1,DKFZP434K151,FLJ32018
ELOVL fatty acid elongase 5	ENSG00000012660	ELOVL5	ELOVL5,SCA38,HELO1,DJ483K16.1
G protein-coupled estrogen receptor 1	ENSG00000164850	GPER1	GPER1,CMKRL2,GPR30,GPER,FEG-1,GPCR-BR,LERGU,LERGU2,DRY12,LYGPR,CEPR
formin binding protein 4	ENSG00000109920	FNBP4	FNBP4,KIAA1014
exocyst complex component 4	ENSG00000131558	EXOC4	EXOC4,SEC8L1,KIAA1699,MGC27170,SEC8,SEC8P
phosphodiesterase 11A	ENSG00000128655	PDE11A	PDE11A
TSC complex subunit 1	ENSG00000165699	TSC1	TSC1,TSC,KIAA0243,LAM,HAMARTIN
acidic nuclear phosphoprotein 32 family member B	ENSG00000136938	ANP32B	ANP32B,SSP29,PHAPI2,APRIL
forkhead box M1	ENSG00000111206	FOXM1	FOXM1,FKHL16,HFH-11,TRIDENT,HNF-3,INS-1,MPP2,MPHOSPH2,TGT3
PPFIA binding protein 1	ENSG00000110841	PPFIBP1	PPFIBP1,L2,HSGT2,HSGT2P,SGT2
Cbl proto-oncogene	ENSG00000110395	CBL	CBL,CBL2,RNF55,C-CBL
hepatocyte growth factor	ENSG00000019991	HGF	HGF,DFNB39,SF,F-TCF,HGFB,HPTA
zinc finger protein 423	ENSG00000102935	ZNF423	ZNF423,KIAA0760,OAZ,HOAZ,EBFAZ,ZFP104,NPHP14,JBTS19
phospholipase C beta 1	ENSG00000182621	PLCB1	PLCB1,KIAA0581,PLC-I,PLC154
ABL proto-oncogene 2, non-receptor tyrosine kinase	ENSG00000143322	ABL2	ABL2,ABLL,ARG
Meis homeobox 1	ENSG00000143995	MEIS1	MEIS1
kizuna centrosomal protein	ENSG00000088970	KIZ	KIZ,NCRNA00153,C20ORF19,PLK1S1,HT013
BCL2 related protein A1	ENSG00000140379	BCL2A1	BCL2A1,HBPA1,GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1
class II major histocompatibility complex transactivator	ENSG00000179583	CIITA	CIITA,MHC2TA,C2TA,NLRA
DEK proto-oncogene	ENSG00000124795	DEK	DEK,D6S231E
otoferlin	ENSG00000115155	OTOF	OTOF,DFNB9,FER1L2,DFNB6
SH2B adaptor protein 2	ENSG00000160999	SH2B2	SH2B2,APS
solute carrier family 45 member 3	ENSG00000158715	SLC45A3	SLC45A3,PCANAP6,PCANAP2,PCANAP8,IPCA-6,PROSTEIN,IPCA-2,IPCA-8
microtubule-actin crosslinking factor 1	ENSG00000127603	MACF1	MACF1,KIAA0465,ACF7,ABP620,KIAA1251,MACF,FLJ45612,FLJ46776
inhibitor of DNA binding 4, HLH protein	ENSG00000172201	ID4	ID4,BHLHB27
glypican 5	ENSG00000179399	GPC5	GPC5
interleukin 1 receptor associated kinase 2	ENSG00000134070	IRAK2	IRAK2
